,language,glottocode,lemma,pos,reference,meaning_ru,target_ipa,russian_ipa,metathesis,problems
3047,Botlikh_Al,botl1242,туру́сик,noun,"Alekseev, Azayev 2019",трусики,t-u-r-'u-s-i-k-0,t-0-r-'u-sʲ-I-kʲ-I,,
3048,Bagvalal,bagv1239,ТАРАХТАР́ИСТ,,Magomedova 2004,тракторист,t-a-r-a-χ-t-a-r-'i-s-t,t-0-r-A-k-t-O-rʲ-'i-s-t,,
3049,Botlikh,botl1242,тарактори́ст,noun,"Saidova, Abusov 2012",тракторист,t-a-r-a-k-t-o-r-'i-s-t,t-0-r-A-k-t-O-rʲ-'i-s-t,,
3050,Godoberi,ghod1238,ТАРАХТАРИ́СТ,,Saidova 2006,тракторист,t-a-r-a-χ-t-a-r-'i-s-t,t-0-r-A-k-t-O-rʲ-'i-s-t,,
3051,Botlikh_Al,botl1242,тарамба́й,noun,"Alekseev, Azayev 2019",трамвай,t-a-r-a-m-b-'a-j,t-0-r-A-m-v-'a-j,,
3052,Botlikh,botl1242,тарамва́й,noun,"Saidova, Abusov 2012",трамвай,t-a-r-a-m-w-'a-j,t-0-r-A-m-v-'a-j,,
3053,Godoberi,ghod1238,ТАРАМВÁЙ,,Saidova 2006,трамвай,t-a-r-a-m-w-'a-j,t-0-r-A-m-v-'a-j,,
3054,Bagvalal,bagv1239,ТАРАᴴСУМÁ̄ТАР,,Magomedova 2004,трансформатор,t-a-r-ã-0-s-u-0-0-0-m-'aː-t-a-r,t-0-r-A-n-s-0-f-O-r-m-'a-t-O-r,,
3055,Botlikh_Al,botl1242,тарале́йбус,noun,"Alekseev, Azayev 2019",троллейбус,t-a-r-a-l-'e-j-b-u-s,t-0-r-O-l-'e-j-b-U-s,,
3056,Botlikh,botl1242,тарале́йбус,noun,"Saidova, Abusov 2012",троллейбус,t-a-r-a-l-'e-j-b-u-s,t-0-r-O-l-'e-j-b-U-s,,
3057,Godoberi,ghod1238,ТАРАЛÉЙБУСУ,,Saidova 2006,троллейбус,t-a-r-a-l-'e-j-b-u-s-u,t-0-r-O-l-'e-j-b-U-s-0,,
3058,Akhvakh,akhv1239,туруба',noun,"Magomedova, Abdulayeva 2007",труба,t-u-r-u-b-'a,t-0-r-U-b-'a,,
3059,Botlikh_Al,botl1242,тирико́,,"Alekseev, Azayev 2019",трико,t-i-r-i-k-'o,t-0-rʲ-I-k-'o,,
3060,Andi,andi1255,тамако,,Salimov 2010,табак,t-a-m-a-k-o,t-A-b-'a-k-0,,
3061,Avar,avar1256,тама́хьо,,Gimbatov 2006,табак,t-a-m-a-x-o,t-A-b-'a-k-0,,
3062,Bagvalal,bagv1239,ТАМÁКО/ТАМÁКВА,,Magomedova 2004,табак,t-a-m-'a-k-o,t-A-b-'a-k-0,,
3063,Godoberi,ghod1238,ТАМÁКУ,,Saidova 2006,табак,t-a-m-'a-k-u,t-A-b-'a-k-0,,
3064,Karata-Tukita,kara1474,ТАМАХЬУ',,"Magomedova, Khalidova 2001",табак,t-a-m-a-x-'u,t-A-b-'a-k-0,,
3065,Tindi,tind1238,ТАМÁКУР,,Magomedova 2003,табак,t-a-m-'a-k-u-r,t-A-b-'a-k-0-0,,
3066,Chamalal,cham1309,ТАМАКВ,noun III,Magomedova 1999,табак,t-a-m-a-kʷ,t-A-b-'a-k,,
3067,Avar,avar1256,таблéтка,,Gimbatov 2006,таблетка,t-a-b-l-'e-t-k-a,t-A-b-lʲ-'e-t-k-A,,
3068,Botlikh_Al,botl1242,табле́тка,,"Alekseev, Azayev 2019",таблетка,t-a-b-l-'e-t-k-a,t-A-b-lʲ-'e-t-k-A,,
3069,Avar,avar1256,таксѝ,,Gimbatov 2006,такси,t-a-k-s-'i,t-A-k-sʲ-'i,,
3070,Botlikh_Al,botl1242,такси́,,"Alekseev, Azayev 2019",такси,t-a-k-s-'i,t-A-k-sʲ-'i,,
3071,Andi,andi1255,талон,,Salimov 2010,талон,t-a-l-o-n,t-A-l-'o-n,,
3072,Avar,avar1256,талóн,,Gimbatov 2006,талон,t-a-l-'o-n,t-A-l-'o-n,,
3073,Botlikh_Al,botl1242,тало́н,,"Alekseev, Azayev 2019",талон,t-a-l-'o-n,t-A-l-'o-n,,
3074,Avar,avar1256,тама́да,,Gimbatov 2006,тамада,t-a-m-'a-d-a,t-A-m-A-d-'a,,
3075,Bagvalal,bagv1239,ТАМÁДА,,Magomedova 2004,тамада,t-a-m-'a-d-a,t-A-m-A-d-'a,,
3076,Andi,andi1255,таракан,,Salimov 2010,таракан,t-a-r-a-k-a-n,t-A-r-A-k-'a-n,,
3077,Avar,avar1256,тарѝф,,Gimbatov 2006,тариф,t-a-r-'i-f,t-A-rʲ-'i-f,,
3078,Bagvalal,bagv1239,ТАР́ИП,,Magomedova 2004,тариф,t-a-r-'i-p,t-A-rʲ-'i-f,,
3079,Bagvalal,bagv1239,ТИЙÁ̄ТИР,,Magomedova 2004,театр,t-i-j-'aː-t-i-r,t-E-0-'a-t-0-r,,
3080,Botlikh_Al,botl1242,талку́чка,,"Alekseev, Azayev 2019",толкучка,t-a-l-k-'u-tʃ-k-a,t-O-l-k-'u-tɕ-k-A,,
3081,Bagvalal,bagv1239,ТОЛМÁЧ,,Magomedova 2004,толмач,t-o-l-m-'a-tʃ,t-O-l-m-'a-tɕ,,
3082,Botlikh_Al,botl1242,талма́ч,,"Alekseev, Azayev 2019",толмач,t-a-l-m-'a-tʃ,t-O-l-m-'a-tɕ,,
3083,Karata-Tukita,kara1474,ТИ'ЛМАЧ,,"Magomedova, Khalidova 2001",толмач,t-'i-l-m-a-tʃ,t-O-l-m-'a-tɕ,,
3084,Akhvakh,akhv1239,тилма'чи,noun,"Magomedova, Abdulayeva 2007",толмач,t-i-l-m-'a-tʃ-i,t-O-l-m-'a-tɕ-0,,
3085,Andi,andi1255,талмачи,,Salimov 2010,толмач,t-a-l-m-a-tʃ-i,t-O-l-m-'a-tɕ-0,,
3087,Avar,avar1256,тома́т,,Gimbatov 2006,томат,t-o-m-'a-t,t-O-m-'a-t,,
3088,Botlikh_Al,botl1242,тама́т,noun,"Alekseev, Azayev 2019",томат,t-a-m-'a-t,t-O-m-'a-t,,
3089,Botlikh,botl1242,тама́т,noun,"Saidova, Abusov 2012",томат,t-a-m-'a-t,t-O-m-'a-t,,
3090,Godoberi,ghod1238,ТАМÁТИ,,Saidova 2006,томат,t-a-m-'a-t-i,t-O-m-'a-t-0,,
3091,Avar,avar1256,тра́ктор,,Gimbatov 2006,трактор,t-r-'a-k-t-o-r,t-r-'a-k-t-O-r,,
3092,Avar,avar1256,тракторѝст,,Gimbatov 2006,тракторист,t-r-a-k-t-o-r-'i-s-t,t-r-A-k-t-O-rʲ-'i-s-t,,
3093,Avar,avar1256,трамва́/й,,Gimbatov 2006,трамвай,t-r-a-m-w-'a-j,t-r-A-m-v-'a-j,,
3094,Avar,avar1256,трансформа́тор,,Gimbatov 2006,трансформатор,t-r-a-n-s-f-o-r-m-'a-t-o-r,t-r-A-n-s-f-O-r-m-'a-t-O-r,,
3095,Avar,avar1256,троллéйбус,,Gimbatov 2006,троллейбус,t-r-o-l-'e-j-b-u-s,t-r-O-l-'e-j-b-U-s,,
3096,Avar,avar1256,турба́,,Gimbatov 2006,труба,t-u-r-b-'a,t-r-U-b-'a,1,
3097,Botlikh,botl1242,турб/а́,noun,"Saidova, Abusov 2012",труба,t-u-r-b-'a,t-r-U-b-'a,1,
3098,Botlikh_Al,botl1242,турба́,noun,"Alekseev, Azayev 2019",труба,t-u-r-b-'a,t-r-U-b-'a,1,
3099,Godoberi,ghod1238,ТУРБÁ,,Saidova 2006,труба,t-u-r-b-'a,t-r-U-b-'a,1,
3100,Karata-Tukita,kara1474,ТУ'РП/А,,"Magomedova, Khalidova 2001",труба,t-'u-r-p-a,t-r-U-b-'a,1,
3101,Botlikh,botl1242,турни́кI,noun,"Saidova, Abusov 2012",турник,t-u-r-n-'i-k',t-U-r-nʲ-'i-k,,
3102,Godoberi,ghod1238,ТУРНИ́К/И,,Saidova 2006,турник,t-u-r-n-'i-kʲ-i,t-U-r-nʲ-'i-k-0,,
3103,Botlikh_Al,botl1242,турист,noun,"Alekseev, Azayev 2019",турист,t-u-r-i-s-t,t-U-rʲ-'i-s-t,,
3104,Andi,andi1255,чай,,Salimov 2010,чай,tʃ-a-j,tɕ-'a-j,,
3105,Avar,avar1256,ча/й,,Gimbatov 2006,чай,tʃ-a-j,tɕ-'a-j,,
3106,Bagvalal,bagv1239,ЧАЙ,,Magomedova 2004,чай,tʃ-a-j,tɕ-'a-j,,
3107,Chamalal,cham1309,ЧАЙ,,Magomedova 1999,чай,tʃ-a-j,tɕ-'a-j,,
3108,Godoberi,ghod1238,ЧАЙ,,Saidova 2006,чай,tʃ-a-j,tɕ-'a-j,,
3109,Botlikh,botl1242,чагьи́никI,,"Saidova, Abusov 2012",чайник,tʃ-a-h-'i-n-i-k',tɕ-'a-j-0-nʲ-I-k,,
3110,Avar,avar1256,ча́йник,,Gimbatov 2006,чайник,tʃ-'a-j-n-i-k,tɕ-'a-j-nʲ-I-k,,
3111,Botlikh_Al,botl1242,ча́йникI,,"Alekseev, Azayev 2019",чайник,tʃ-'a-j-n-i-k',tɕ-'a-j-nʲ-I-k,,
3112,Akhvakh,akhv1239,че̄'никIе,noun,"Magomedova, Abdulayeva 2007",чайник,tʃ-'eː-0-n-i-k'-e,tɕ-'a-j-nʲ-I-k-0,,
3113,Andi,andi1255,чайникӏи,,Salimov 2010,чайник,tʃ-a-j-n-i-k'-i,tɕ-'a-j-nʲ-I-k-0,,
3114,Godoberi,ghod1238,ЧÁЙНИКI/И,,Saidova 2006,чайник,tʃ-'a-j-n-i-kʲ'-i,tɕ-'a-j-nʲ-I-k-0,,
3115,Godoberi,ghod1238,ЧАНИ́КI/И,,Saidova 2006,чайник,tʃ-a-0-n-'i-kʲ'-i,tɕ-'a-j-nʲ-I-k-0,,
3116,Akhvakh,akhv1239,чIа'чIа,noun,"Magomedova, Abdulayeva 2007",чача,tʃ'-'a-tʃ'-a,tɕ-'a-tɕ-A,,
3118,Avar,avar1256,чIачIа́,,Gimbatov 2006,чача,tʃ'-a-tʃ'-'a,tɕ-'a-tɕ-A,,
3119,Chamalal,cham1309,ЧIАЧIА,,Magomedova 1999,чача,tʃ'-a-tʃ'-a,tɕ-'a-tɕ-A,,
3120,Godoberi,ghod1238,ЧIАЧIÁ,,Saidova 2006,чача,tʃ'-a-tʃ'-'a,tɕ-'a-tɕ-A,,
3121,Karata-Tukita,kara1474,Ч|АЧ|А',,"Magomedova, Khalidova 2001",чача,tʃ'-a-tʃ'-'a,tɕ-'a-tɕ-A,,
3122,Tindi,tind1238,ЧIÁЧIА,,Magomedova 2003,чача,tʃ'-'a-tʃ'-a,tɕ-'a-tɕ-A,,
3123,Avar,avar1256,чек,,Gimbatov 2006,чек,tʃ-e-k,tɕ-'e-k,,
3124,Botlikh_Al,botl1242,чек,,"Alekseev, Azayev 2019",чек,tʃ-e-k,tɕ-'e-k,,
3125,Andi,andi1255,чин,,Salimov 2010,чин,tʃ-i-n,tɕ-'i-n,,
3126,Avar,avar1256,чин,,Gimbatov 2006,чин,tʃ-i-n,tɕ-'i-n,,
3127,Botlikh,botl1242,чин,noun,"Saidova, Abusov 2012",чин,tʃ-i-n,tɕ-'i-n,,
3128,Botlikh_Al,botl1242,чин,noun,"Alekseev, Azayev 2019",чин,tʃ-i-n,tɕ-'i-n,,
3129,Chamalal,cham1309,ЧИН,noun III,Magomedova 1999,чин,tʃ-i-n,tɕ-'i-n,,
3130,Bagvalal,bagv1239,ЧИЛÉН,,Magomedova 2004,член,tʃ-i-l-'e-n,tɕ-0-lʲ-'e-n,,
3131,Avar,avar1256,ча́йхана,,Gimbatov 2006,чайхана,tʃ-'a-j-χ-a-n-a,tɕ-A-j-x-A-n-'a,,
3132,Botlikh_Al,botl1242,чайхана́,,"Alekseev, Azayev 2019",чайхана,tʃ-a-j-χ-a-n-'a,tɕ-A-j-x-A-n-'a,,
3133,Godoberi,ghod1238,ЧАКЯ́Р,,Saidova 2006,чакар,tʃ-a-kʲ-'a-r,tɕ-A-k-'a-r,,
3134,Andi,andi1255,чарма,,Salimov 2010,чалма,tʃ-a-r-m-a,tɕ-A-l-m-'a,,
3135,Avar,avar1256,чалма́,,Gimbatov 2006,чалма,tʃ-a-l-m-'a,tɕ-A-l-m-'a,,
3136,Bagvalal,bagv1239,ЧАРМÁ,,Magomedova 2004,чалма,tʃ-a-r-m-'a,tɕ-A-l-m-'a,,
3137,Botlikh_Al,botl1242,ча́рма,noun,"Alekseev, Azayev 2019",чалма,tʃ-'a-r-m-a,tɕ-A-l-m-'a,,
3138,Godoberi,ghod1238,ЧАРМÁ,,Saidova 2006,чалма,tʃ-a-r-m-'a,tɕ-A-l-m-'a,,
3139,Tindi,tind1238,ЧАРМÁ,,Magomedova 2003,чалма,tʃ-a-r-m-'a,tɕ-A-l-m-'a,,
3140,Tindi,tind1238,ЧАХУ́ТИКА,,Magomedova 2003,чахотка,tʃ-a-χ-'u-t-i-k-a,tɕ-A-x-'o-t-0-k-A,,
3141,Akhvakh,akhv1239,чихо'тка,noun,"Magomedova, Abdulayeva 2007",чахотка,tʃ-i-χ-'o-t-k-a,tɕ-A-x-'o-t-k-A,,
3143,Andi,andi1255,чихотка,,Salimov 2010,чахотка,tʃ-i-χ-o-t-k-a,tɕ-A-x-'o-t-k-A,,
3144,Avar,avar1256,чехóтка,,Gimbatov 2006,чахотка,tʃ-e-χ-'o-t-k-a,tɕ-A-x-'o-t-k-A,,
3145,Bagvalal,bagv1239,ЧИХÓТКА,,Magomedova 2004,чахотка,tʃ-i-χ-'o-t-k-a,tɕ-A-x-'o-t-k-A,,
3146,Botlikh,botl1242,чахо́тка,noun,"Saidova, Abusov 2012",чахотка,tʃ-a-χ-'o-t-k-a,tɕ-A-x-'o-t-k-A,,
3147,Botlikh_Al,botl1242,чихо́тка,,"Alekseev, Azayev 2019",чахотка,tʃ-i-χ-'o-t-k-a,tɕ-A-x-'o-t-k-A,,
3148,Godoberi,ghod1238,ЧАХУ́ТКА,,Saidova 2006,чахотка,tʃ-a-χ-'u-t-k-a,tɕ-A-x-'o-t-k-A,,
3149,Karata-Tukita,kara1474,ЧИХОТК|А,,"Magomedova, Khalidova 2001",чахотка,tʃ-i-χ-o-t-k'-a,tɕ-A-x-'o-t-k-A,,
3150,Tindi,tind1238,ЧАХВÁТКА,,Magomedova 2003,чахотка,tʃ-a-χ-w-a-t-k-a,tɕ-A-x-0-'o-t-k-A,,
3151,Andi,andi1255,чамадан,,Salimov 2010,чемодан,tʃ-a-m-a-d-a-n,tɕ-E-m-O-d-'a-n,,
3152,Avar,avar1256,чемода́н,,Gimbatov 2006,чемодан,tʃ-e-m-o-d-'a-n,tɕ-E-m-O-d-'a-n,,
3153,Bagvalal,bagv1239,ЧУМАДÁН,,Magomedova 2004,чемодан,tʃ-u-m-a-d-'a-n,tɕ-E-m-O-d-'a-n,,
3154,Botlikh_Al,botl1242,чумада́н,,"Alekseev, Azayev 2019",чемодан,tʃ-u-m-a-d-'a-n,tɕ-E-m-O-d-'a-n,,
3155,Avar,avar1256,чемпиóн,,Gimbatov 2006,чемпион,tʃ-e-m-p-i-'o-n,tɕ-E-m-pʲ-I-'o-n,,
3156,Bagvalal,bagv1239,ЧЕᴴПИÓН,,Magomedova 2004,чемпион,tʃ-ẽ-0-p-i-'o-n,tɕ-E-m-pʲ-I-'o-n,,
3157,Botlikh_Al,botl1242,чемпио́н,noun,"Alekseev, Azayev 2019",чемпион,tʃ-e-m-p-i-'o-n,tɕ-E-m-pʲ-I-'o-n,,
3158,Botlikh,botl1242,чемпио́н,noun,"Saidova, Abusov 2012",чемпион,tʃ-e-m-p-i-'o-n,tɕ-E-m-pʲ-I-'o-n,,
3159,Godoberi,ghod1238,ЧЕМПИÓН,,Saidova 2006,чемпион,tʃ-e-m-p-i-'o-n,tɕ-E-m-pʲ-I-'o-n,,
3160,Avar,avar1256,чемпиóнка,,Gimbatov 2006,чемпионка,tʃ-e-m-p-i-'o-n-k-a,tɕ-E-m-pʲ-I-'o-n-k-A,,
3161,Bagvalal,bagv1239,ЧЕᴴПИÓᴴКА,,Magomedova 2004,чемпионка,tʃ-ẽ-0-p-i-'o-0-k-a,tɕ-E-m-pʲ-I-'o-n-k-A,,
3162,Avar,avar1256,чемпиона́т,,Gimbatov 2006,чемпионат,tʃ-e-m-p-i-o-n-'a-t,tɕ-E-m-pʲ-I-O-n-'a-t,,
3163,Bagvalal,bagv1239,ЧЕᴴПИОНÁТ,,Magomedova 2004,чемпионат,tʃ-ẽ-0-p-i-o-n-'a-t,tɕ-E-m-pʲ-I-O-n-'a-t,,
3164,Botlikh,botl1242,чемпиона́т,noun,"Saidova, Abusov 2012",чемпионат,tʃ-e-m-p-i-o-n-'a-t,tɕ-E-m-pʲ-I-O-n-'a-t,,
3165,Godoberi,ghod1238,ЧЕМПИОНÁТИ,,Saidova 2006,чемпионат,tʃ-e-m-p-i-o-n-'a-t-i,tɕ-E-m-pʲ-I-O-n-'a-t-0,,
3166,Avar,avar1256,чехóл,,Gimbatov 2006,чехол,tʃ-e-χ-'o-l,tɕ-E-x-'o-l,,
3167,Botlikh_Al,botl1242,чихо́л,,"Alekseev, Azayev 2019",чехол,tʃ-i-χ-'o-l,tɕ-E-x-'o-l,,
3168,Avar,avar1256,член,,Gimbatov 2006,член,tʃ-l-'e-n,tɕ-lʲ-'e-n,,
3169,Avar,avar1256,тéхник,,Gimbatov 2006,техник,t-'e-χ-n-i-k,tʲ-'e-x-nʲ-I-k,,
3170,Botlikh,botl1242,те́хник,noun,"Saidova, Abusov 2012",техник,t-'e-χ-n-i-k,tʲ-'e-x-nʲ-I-k,,
3171,Botlikh_Al,botl1242,те́хникI,noun,"Alekseev, Azayev 2019",техник,t-'e-χ-n-i-k',tʲ-'e-x-nʲ-I-k,,
3172,Avar,avar1256,тéхника,,Gimbatov 2006,техника,t-'e-χ-n-i-k-a,tʲ-'e-x-nʲ-I-k-A,,
3173,Botlikh_Al,botl1242,те́хникIа,,"Alekseev, Azayev 2019",техника,t-'e-χ-n-i-k'-a,tʲ-'e-x-nʲ-I-k-A,,
3174,Godoberi,ghod1238,ТÉХНИК/И,,Saidova 2006,техник,t-'e-χ-n-i-kʲ-i,tʲ-'e-x-nʲ-I-k-A,,
3175,Avar,avar1256,тéхникум,,Gimbatov 2006,техникум,t-'e-χ-n-i-k-u-m,tʲ-'e-x-nʲ-I-k-U-m,,
3176,Botlikh_Al,botl1242,те́хникум,,"Alekseev, Azayev 2019",техникум,t-'e-χ-n-i-k-u-m,tʲ-'e-x-nʲ-I-k-U-m,,
3177,Bagvalal,bagv1239,ТОК²,,Magomedova 2004,тюк,t-o-k,tʲ-'u-k,,
3178,Botlikh,botl1242,тук,noun,"Saidova, Abusov 2012",тюк,t-u-k,tʲ-'u-k,,
3179,Akhvakh,akhv1239,ту'ки,noun,"Magomedova, Abdulayeva 2007",тюк,t-'u-k-i,tʲ-'u-k-0,,
3180,Akhvakh,akhv1239,ту'пи,noun,"Magomedova, Abdulayeva 2007",тюк,t-'u-p-i,tʲ-'u-k-0,,
3181,Godoberi,ghod1238,ТУ́К/И,,Saidova 2006,тюк,t-'u-kʲ-i,tʲ-'u-k-0,,
3182,Tindi,tind1238,ТÓКИ³,,Magomedova 2003,тюк,t-o-k-i,tʲ-'u-k-0,,
3183,Botlikh_Al,botl1242,тиа́тир,noun,"Alekseev, Azayev 2019",театр,t-i-'a-t-i-r,tʲ-E-'a-t-0-r,,
3184,Botlikh,botl1242,тиа́тир,noun,"Saidova, Abusov 2012",театр,t-i-'a-t-i-r,tʲ-E-'a-t-0-r,,
3185,Avar,avar1256,теа́тр,,Gimbatov 2006,театр,t-e-'a-t-r,tʲ-E-'a-t-r,,
3186,Bagvalal,bagv1239,ТИЙÁ̄ТИР,,Magomedova 2004,театр,t-i-j-'aː-t-i-r,tʲ-E-0-'a-t-0-r,,
3187,Godoberi,ghod1238,ТИЙÁТИР/И,,Saidova 2006,театр,t-i-j-'a-t-i-r-i,tʲ-E-0-'a-t-0-r-0,,
3188,Botlikh_Al,botl1242,теле(а)по́н,noun,"Alekseev, Azayev 2019",телефон,t-e-l-e-a-p-'o-n,tʲ-E-lʲ-E-0-f-'o-n,,
3189,Andi,andi1255,тилипун,,Salimov 2010,телефон,t-i-l-i-p-u-n,tʲ-E-lʲ-E-f-'o-n,,
3190,Avar,avar1256,телефóн,,Gimbatov 2006,телефон,t-e-l-e-f-'o-n,tʲ-E-lʲ-E-f-'o-n,,
3191,Bagvalal,bagv1239,ТЕЛЕПÓН,,Magomedova 2004,телефон,t-e-l-e-p-'o-n,tʲ-E-lʲ-E-f-'o-n,,
3192,Botlikh,botl1242,телепо́н,noun,"Saidova, Abusov 2012",телефон,t-e-l-e-p-'o-n,tʲ-E-lʲ-E-f-'o-n,,
3193,Godoberi,ghod1238,ТЕЛИПÓН,,Saidova 2006,телефон,t-e-l-i-p-'o-n,tʲ-E-lʲ-E-f-'o-n,,
3194,Avar,avar1256,телефонѝстка,,Gimbatov 2006,телефонистка,t-e-l-e-f-o-n-'i-s-t-k-a,tʲ-E-lʲ-E-f-O-nʲ-'i-s-t-k-A,,
3195,Bagvalal,bagv1239,ТЕЛЕПАН́ИСКА,,Magomedova 2004,телефонистка,t-e-l-e-p-a-n-'i-s-0-k-a,tʲ-E-lʲ-E-f-O-nʲ-'i-s-t-k-A,,
3196,Akhvakh,akhv1239,телегара,noun,"Magomedova, Abdulayeva 2007",телеграмма,t-e-l-e-ɡ-a-r-0-a,tʲ-E-lʲ-E-g-r-'a-m-A,1,
3197,Botlikh,botl1242,телегра́ма,noun,"Saidova, Abusov 2012",телеграмма,t-e-l-e-ɡ-r-'a-m-a,tʲ-E-lʲ-E-g-r-'a-m-A,,
3198,Botlikh_Al,botl1242,телигра́ма,noun,"Alekseev, Azayev 2019",телеграмма,t-e-l-i-ɡ-r-'a-m-a,tʲ-E-lʲ-E-g-r-'a-m-A,,
3199,Avar,avar1256,телегра́мма,,Gimbatov 2006,телеграмма,t-e-l-e-g-r-'a-m-m-a,tʲ-E-lʲ-E-g-r-'a-m-m-A,,
3200,Godoberi,ghod1238,ТЕЛЕГРÁММА,,Saidova 2006,телеграмма,t-e-l-e-ɡ-r-'a-m-m-a,tʲ-E-lʲ-E-g-r-'a-m-m-A,,
3201,Avar,avar1256,телевѝзор,,Gimbatov 2006,телевизор,t-e-l-e-w-'i-z-o-r,tʲ-E-lʲ-E-vʲ-'i-z-O-r,,
3202,Bagvalal,bagv1239,ТЕЛЕВ́ИЗАР,,Magomedova 2004,телевизор,t-e-l-e-w-'i-z-a-r,tʲ-E-lʲ-E-vʲ-'i-z-O-r,,
3203,Botlikh,botl1242,телеви́зор,,"Saidova, Abusov 2012",телевизор,t-e-l-e-w-'i-z-o-r,tʲ-E-lʲ-E-vʲ-'i-z-O-r,,
3204,Botlikh_Al,botl1242,теливи́зор,,"Alekseev, Azayev 2019",телевизор,t-e-l-i-w-'i-z-o-r,tʲ-E-lʲ-E-vʲ-'i-z-O-r,,
3205,Godoberi,ghod1238,ТЕЛИВИ́ЗОР,,Saidova 2006,телевизор,t-e-l-i-w-'i-z-o-r,tʲ-E-lʲ-E-vʲ-'i-z-O-r,,
3206,Avar,avar1256,темпера́тура,,Gimbatov 2006,температура,t-e-m-p-e-r-a-t-'u-r-a,tʲ-E-m-pʲ-E-r-A-t-'u-r-A,,
3207,Botlikh,botl1242,темпирату́ра,,"Saidova, Abusov 2012",температура,t-e-m-p-i-r-a-t-'u-r-a,tʲ-E-m-pʲ-E-r-A-t-'u-r-A,,
3208,Godoberi,ghod1238,ТЕМПИРАТУРА,,Saidova 2006,температура,t-e-m-p-i-r-a-t-u-r-a,tʲ-E-m-pʲ-E-r-A-t-'u-r-A,,
3209,Avar,avar1256,тетра́д/ь,,Gimbatov 2006,тетрадь,t-e-t-r-'a-d,tʲ-E-t-r-'a-Dʲ,,
3210,Bagvalal,bagv1239,ТИТРÁД,,Magomedova 2004,тетрадь,t-i-t-r-'a-d,tʲ-E-t-r-'a-Dʲ,,
3211,Botlikh,botl1242,тетра́д,,"Saidova, Abusov 2012",тетрадь,t-e-t-r-'a-d,tʲ-E-t-r-'a-Dʲ,,
3212,Botlikh_Al,botl1242,титра́д,,"Alekseev, Azayev 2019",тетрадь,t-i-t-r-'a-d,tʲ-E-t-r-'a-Dʲ,,
3213,Karata-Tukita,kara1474,ТИ'ТРАТ,,"Magomedova, Khalidova 2001",тетрадь,t-'i-t-r-a-t,tʲ-E-t-r-'a-Dʲ,,
3214,Akhvakh,akhv1239,титра'ти,noun,"Magomedova, Abdulayeva 2007",тетрадь,t-i-t-r-'a-t-i,tʲ-E-t-r-'a-Dʲ-0,,
3215,Akhvakh,akhv1239,тетра'ти,noun,"Magomedova, Abdulayeva 2007",тетрадь,t-e-t-r-'a-t-i,tʲ-E-t-r-'a-Dʲ-0,,
3216,Andi,andi1255,тетради,,Salimov 2010,тетрадь,t-e-t-r-a-d-i,tʲ-E-t-r-'a-Dʲ-0,,
3217,Godoberi,ghod1238,ТЕТРÁТ/И,,Saidova 2006,тетрадь,t-e-t-r-'a-t-i,tʲ-E-t-r-'a-Dʲ-0,,
3218,Avar,avar1256,цéнтнер,,Gimbatov 2006,центнер,ts-'e-n-t-n-e-r,ts-'e-n-t-nʲ-E-r,,
3219,Botlikh_Al,botl1242,цце́нтнер,noun,"Alekseev, Azayev 2019",центнер,tsː-'e-n-t-n-e-r,ts-'e-n-t-nʲ-E-r,,
3220,Avar,avar1256,цех,,Gimbatov 2006,цех,ts-e-χ,ts-'e-x,,
3221,Botlikh_Al,botl1242,ццех,noun,"Alekseev, Azayev 2019",цех,tsː-e-χ,ts-'e-x,,
3222,Avar,avar1256,цирк,,Gimbatov 2006,цирк,ts-i-r-k,ts-'i-r-k,,
3223,Botlikh_Al,botl1242,ццирк,,"Alekseev, Azayev 2019",цирк,tsː-i-r-k,ts-'i-r-k,,
3224,Botlikh_Al,botl1242,ццилина́,noun,"Alekseev, Azayev 2019",целина,tsː-i-l-i-n-'a,ts-E-lʲ-I-n-'a,,
3225,Avar,avar1256,цемéнт,,Gimbatov 2006,цемент,ts-e-m-'e-n-t,ts-E-mʲ-'e-n-t,,
3226,Bagvalal,bagv1239,̄СИМ́ИТ/̄СИМÉТ,,Magomedova 2004,цемент,sː-i-m-'e-0-t,ts-E-mʲ-'e-n-t,,
3227,Bagvalal,bagv1239,̄СИМ́ИТ/̄СИМÉТ,,Magomedova 2004,цемент,sː-i-m-'i-0-t,ts-E-mʲ-'e-n-t,,
3228,Karata-Tukita,kara1474,С¯ИМИ'Т,,"Magomedova, Khalidova 2001",цемент,sː-i-m-'i-0-t,ts-E-mʲ-'e-n-t,,
3229,Akhvakh,akhv1239,с̄ими'ти,noun,"Magomedova, Abdulayeva 2007",цемент,sː-i-m-'i-0-t-i,ts-E-mʲ-'e-n-t-0,,
3230,Godoberi,ghod1238,ССИМИ́ТИ,,Saidova 2006,цемент,sː-i-m-'i-0-t-i,ts-E-mʲ-'e-n-t-0,,
3231,Tindi,tind1238,С̅ИМИ́ТИ,,Magomedova 2003,цемент,sː-i-m-'i-0-t-i,ts-E-mʲ-'e-n-t-0,,
3232,Andi,andi1255,ссемети,,Salimov 2010,цемент,sː-e-m-e-0-t-i,ts-E-mʲ-e-n-t-0,,
3233,Avar,avar1256,убóрщица,,Gimbatov 2006,уборщица,u-b-'o-r-ʃː-i-ts-a,U-b-'o-r-ɕː-I-ts-A,,
